==24446== NVPROF is profiling process 24446, command: python manual_torch.py gpu 32
/home/oguzziya/miniconda3/envs/phiflow-py36/lib/python3.6/site-packages/phi/viz/display.py:80: UserWarning: GUI is disabled because of missing dependencies: No module named 'dash_core_components'. To install all dependencies, run $ pip install phiflow[gui]
  warnings.warn('GUI is disabled because of missing dependencies: %s. To install all dependencies, run $ pip install phiflow[gui]' % import_error)
==24446== Profiling application: python manual_torch.py gpu 32
==24446== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
3.15740s  8.1280us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [2309]
3.15744s     960ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [2321]
3.15758s     832ns                    -               -         -         -         -        8B  9.1699MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.15760s  93.919us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [2367]
3.15868s  7.8080us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::semi_lagrangian_update2d$243(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [2404]
3.15914s  7.7120us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [2415]
3.15917s     896ns              (4 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [2427]
3.15931s     832ns                    -               -         -         -         -        8B  9.1699MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.15933s  91.776us           (1024 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [2473]
3.16009s  4.4480us              (1 1 1)       (32 32 1)        17        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::patch_inflow2d$244(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [2498]
3.16061s  7.5520us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [2509]
3.16064s     960ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [2521]
3.16078s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.16080s  93.568us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [2567]
3.16150s  7.8080us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [2586]
3.16154s     960ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [2598]
3.16168s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.16170s  93.824us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [2644]
3.16278s  7.5200us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::semi_lagrangian_update2d$243(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [2681]
3.16324s  7.5520us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [2692]
3.16327s     928ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [2704]
3.16341s     864ns                    -               -         -         -         -        8B  8.8303MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.16343s  93.664us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [2750]
3.16447s  7.8720us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [2781]
3.16450s     960ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [2793]
3.16464s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.16466s  94.784us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [2839]
3.16536s  7.9040us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [2858]
3.16540s     960ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [2870]
3.16554s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.16556s  95.360us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [2916]
3.16665s  7.4880us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::semi_lagrangian_update2d$243(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [2953]
3.16711s  7.6160us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [2964]
3.16714s     928ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [2976]
3.16728s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.16730s  94.399us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [3022]
3.16807s  4.6080us              (1 1 1)       (32 32 1)        17        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::buoyancy2d$245(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, double, __int64) [3047]
3.16856s  7.8080us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [3058]
3.16860s     928ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [3070]
3.16874s     832ns                    -               -         -         -         -        8B  9.1699MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.16876s  93.504us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [3116]
3.16946s  7.8080us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [3135]
3.16950s     960ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [3147]
3.16964s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.16966s  92.000us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [3193]
3.17074s  7.8400us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::semi_lagrangian_update2d$243(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [3230]
3.17120s  7.7120us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [3241]
3.17123s     928ns              (4 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [3253]
3.17137s     832ns                    -               -         -         -         -        8B  9.1699MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.17139s  92.128us           (1024 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [3299]
3.17215s  4.5120us              (1 1 1)       (32 32 1)        17        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::patch_inflow2d$244(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [3324]
3.17262s  7.5520us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [3335]
3.17266s     960ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [3347]
3.17280s     832ns                    -               -         -         -         -        8B  9.1699MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.17282s  93.760us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [3393]
3.17351s  7.7120us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [3412]
3.17355s     928ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [3424]
3.17369s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.17371s  93.503us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [3470]
3.17480s  7.5200us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::semi_lagrangian_update2d$243(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [3507]
3.17526s  7.5200us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [3518]
3.17529s     928ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [3530]
3.17543s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.17545s  93.823us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [3576]
3.17646s  7.9040us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [3607]
3.17650s     960ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [3619]
3.17664s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.17666s  94.752us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [3665]
3.17736s  7.7440us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [3684]
3.17739s     960ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [3696]
3.17753s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.17755s  94.495us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [3742]
3.17863s  7.4560us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::semi_lagrangian_update2d$243(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [3779]
3.17909s  7.6800us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [3790]
3.17913s     960ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [3802]
3.17927s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.17929s  94.335us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [3848]
3.18006s  4.7360us              (1 1 1)       (32 32 1)        17        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::buoyancy2d$245(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, double, __int64) [3873]
3.18053s  7.4880us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [3884]
3.18056s     928ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [3896]
3.18070s     832ns                    -               -         -         -         -        8B  9.1699MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.18072s  92.480us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [3942]
3.18142s  8.0320us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [3961]
3.18145s     928ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [3973]
3.18159s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.18161s  92.128us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [4019]
3.18269s  7.8080us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::semi_lagrangian_update2d$243(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [4056]
3.18315s  7.7760us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [4067]
3.18318s     896ns              (4 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [4079]
3.18332s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.18334s  90.080us           (1024 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [4125]
3.18410s  4.5440us              (1 1 1)       (32 32 1)        17        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::patch_inflow2d$244(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [4150]
3.18457s  7.7120us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [4161]
3.18460s     960ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [4173]
3.18474s     832ns                    -               -         -         -         -        8B  9.1699MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.18476s  93.439us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [4219]
3.18546s  7.7760us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [4238]
3.18550s     928ns              (5 1 1)        (64 1 1)         8        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>) [4250]
3.18564s     800ns                    -               -         -         -         -        8B  9.5367MB/s    Pageable      Device  GeForce GTX 960         1         7  [CUDA memcpy HtoD]
3.18566s  93.695us           (1056 1 1)         (1 1 1)        40        0B        0B         -           -           -           -  GeForce GTX 960         1         7  void torch_cuda::ResampleCudaKernel<float>(unsigned int, int, unsigned int const *, unsigned int, unsigned int, unsigned int, unsigned int, float const *, float const , unsigned int const **, Boundary const *, float const *) [4296]
3.18674s  7.5200us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::semi_lagrangian_update2d$243(Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, Array<float, int=4, C, mutable, aligned>, double, __int64) [4333]
3.18721s  7.5840us              (1 1 1)       (32 32 1)        22        0B        0B         -           -           -           -  GeForce GTX 960         1         7  cudapy::utils_gpu::global_to_local2d$242(Array<float, int=4, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, Array<float, int=1, C, mutable, aligned>, __int64, Array<float, int=1, C, mutable, aligned>) [4344]
